
country,year,population,co2,co2_growth_abs,co2_growth_prct
World,1750,753279296,9.306,,
World,1751,,9.407,0.101,1.088
World,1752,,9.505,0.098,1.041
World,1753,,9.61,0.105,1.108
World,1754,,9.734,0.123,1.281
World,1755,,9.793,0.06,0.615
World,1756,,9.91,0.116,1.189
World,1757,,10.094,0.184,1.857
World,1758,,10.216,0.122,1.213
World,1759,,10.339,0.122,1.199
World,1760,788254976,10.514,0.175,1.697
World,1761,,10.748,0.234,2.221
World,1762,,10.952,0.204,1.901
World,1763,,11.192,0.239,2.186
World,1764,,11.397,0.205,1.835
World,1765,,11.643,0.247,2.163
World,1766,,11.876,0.233,1.998
World,1767,,12.153,0.276,2.328
World,1768,,12.467,0.314,2.587
World,1769,,12.78,0.313,2.512
World,1770,827951488,13.097,0.317,2.482
World,1771,,13.369,0.272,2.079
World,1772,,13.624,0.254,1.9
World,1773,,13.808,0.185,1.355
World,1774,,14.012,0.204,1.479
World,1775,,14.339,0.327,2.33
World,1776,,14.654,0.315,2.198
World,1777,,14.96,0.305,2.084
World,1778,,15.243,0.284,1.898
World,1779,,15.535,0.292,1.914
World,1780,900945152,15.879,0.343,2.211
World,1781,,16.234,0.356,2.24
World,1782,,16.581,0.347,2.135
World,1783,,17.063,0.482,2.906
World,1784,,17.471,0.408,2.393
World,1785,,17.965,0.494,2.828
World,1786,,18.447,0.482,2.685
World,1787,,18.859,0.412,2.231
World,1788,,19.286,0.427,2.265
World,1789,,19.863,0.577,2.993
World,1790,942261696,20.398,0.535,2.692
World,1791,,20.932,0.534,2.616
World,1792,,21.929,0.997,4.765
World,1793,,22.297,0.368,1.678
World,1794,,22.52,0.222,0.997
World,1795,,22.315,-0.204,-0.908
World,1796,,22.121,-0.194,-0.869
World,1797,,22.09,-0.031,-0.141
World,1798,,23.106,1.016,4.599
World,1799,,27.485,4.379,18.953
World,1800,954892352,32.798,5.313,19.331
World,1801,,31.986,-0.812,-2.477
World,1802,,40.31,8.324,26.025
World,1803,,29.539,-10.772,-26.723
World,1804,,31.769,2.231,7.552
World,1805,,31.252,-0.517,-1.628
World,1806,,32.705,1.453,4.649
World,1807,,36.201,3.496,10.69
World,1808,,35.498,-0.703,-1.942
World,1809,,36.334,0.836,2.355
World,1810,1028932352,39.492,3.158,8.693
World,1811,,40.177,0.684,1.733
World,1812,,40.815,0.638,1.588
World,1813,,41.206,0.392,0.96
World,1814,,42.227,1.021,2.477
World,1815,,43.587,1.361,3.222
World,1816,,45.497,1.909,4.38
World,1817,,49.276,3.779,8.307
World,1818,,51.392,2.116,4.294
World,1819,,50.93,-0.462,-0.899
World,1820,1065623616,50.733,-0.197,-0.387
World,1821,,52.059,1.326,2.614
World,1822,,54.022,1.962,3.769
World,1823,,56.358,2.336,4.324
World,1824,,57.584,1.226,2.175
World,1825,,60.731,3.147,5.465
World,1826,,61.382,0.651,1.072
World,1827,,65.739,4.356,7.097
World,1828,,66.682,0.943,1.435
World,1829,,66.307,-0.374,-0.561
World,1830,1148205440,88.988,22.681,34.206
World,1831,,83.251,-5.738,-6.448
World,1832,,82.092,-1.159,-1.392
World,1833,,83.249,1.157,1.41
World,1834,,88.763,5.514,6.624
World,1835,,97.4,8.636,9.73
World,1836,,106.894,9.495,9.748
World,1837,,106.199,-0.695,-0.65
World,1838,,105.845,-0.354,-0.333
World,1839,,109.653,3.808,3.597
World,1840,1209754496,118.809,9.155,8.35
World,1841,,122.166,3.357,2.826
World,1842,,129.389,7.223,5.913
World,1843,,132.369,2.981,2.304
World,1844,,141.966,9.597,7.25
World,1845,,155.073,13.107,9.232
World,1846,,157.702,2.628,1.695
World,1847,,170.797,13.095,8.304
World,1848,,173.643,2.847,1.667
World,1849,,185.048,11.405,6.568
World,1850,1287033856,196.848,11.8,6.376
World,1851,,198.779,1.931,0.981
World,1852,,207.595,8.817,4.435
World,1853,,217.237,9.642,4.645
World,1854,,255.039,37.802,17.401
World,1855,,260.26,5.221,2.047
World,1856,,278.246,17.986,6.911
World,1857,,281.181,2.935,1.055
World,1858,,285.548,4.367,1.553
World,1859,,302.572,17.024,5.962
World,1860,1346093952,332.298,29.726,9.825
World,1861,,349.19,16.892,5.083
World,1862,,355.991,6.801,1.948
World,1863,,379.535,23.544,6.614
World,1864,,409.525,29.991,7.902
World,1865,,434.851,25.326,6.184
World,1866,,449.067,14.216,3.269
World,1867,,480.814,31.747,7.07
World,1868,,494.494,13.68,2.845
World,1869,,524.731,30.238,6.115
World,1870,1346763136,536.123,11.392,2.171
World,1871,,569.777,33.653,6.277
World,1872,,630.961,61.185,10.738
World,1873,,670.467,39.506,6.261
World,1874,,628.662,-41.805,-6.235
World,1875,,681.048,52.386,8.333
World,1876,,690.583,9.535,1.4
World,1877,,704.033,13.45,1.948
World,1878,,709.65,5.617,0.798
World,1879,,759.794,50.145,7.066
World,1880,1427718912,858.056,98.261,12.933
World,1881,,887.965,29.909,3.486
World,1882,,937.888,49.923,5.622
World,1883,,997.515,59.626,6.358
World,1884,,1009.43,11.915,1.195
World,1885,,1017.145,7.715,0.764
World,1886,,1032.614,15.469,1.521
World,1887,,1083.728,51.114,4.95
World,1888,,1200.802,117.074,10.803
World,1889,,1201.516,0.715,0.06
World,1890,1548405760,1306.591,105.075,8.745
World,1891,,1368.916,62.324,4.77
World,1892,,1379.809,10.893,0.796
World,1893,,1362.515,-17.294,-1.253
World,1894,,1411.533,49.018,3.598
World,1895,,1495.239,83.706,5.93
World,1896,,1544.661,49.422,3.305
World,1897,,1617.493,72.832,4.715
World,1898,,1705.961,88.468,5.469
World,1899,,1863.135,157.174,9.213
World,1900,1670635648,1961.491,98.355,5.279
World,1901,,2023.964,62.473,3.185
World,1902,,2074.8,50.836,2.512
World,1903,,2262.046,187.246,9.025
World,1904,,2287.509,25.463,1.126
World,1905,,2437.062,149.553,6.538
World,1906,,2544.486,107.424,4.408
World,1907,,2900.325,355.839,13.985
World,1908,,2785.687,-114.638,-3.953
World,1909,,2901.167,115.481,4.146
World,1910,1800219392,3043.326,142.159,4.9
World,1911,,3090.098,46.772,1.537
World,1912,,3246.477,156.379,5.061
World,1913,,3516.533,270.056,8.318
World,1914,,3189.786,-326.747,-9.292
World,1915,,3140.277,-49.51,-1.552
World,1916,,3391.973,251.696,8.015
World,1917,,3548.138,156.165,4.604
World,1918,,3499.686,-48.452,-1.366
World,1919,,3033.839,-465.847,-13.311
World,1920,1927857152,3537.837,503.998,16.613
World,1921,,3106.184,-431.653,-12.201
World,1922,,3254.463,148.279,4.774
World,1923,,3690.698,436.235,13.404
World,1924,,3702.777,12.079,0.327
World,1925,,3740.634,37.857,1.022
World,1926,,3677.407,-63.226,-1.69
World,1927,,4012.947,335.54,9.124
World,1928,,3996.312,-16.635,-0.415
World,1929,,4288.211,291.9,7.304
World,1930,2106406144,3958.096,-330.116,-7.698
World,1931,,3539.32,-418.776,-10.58
World,1932,,3192.592,-346.729,-9.796
World,1933,,3362.683,170.092,5.328
World,1934,,3656.187,293.504,8.728
World,1935,,3835.742,179.555,4.911
World,1936,,4207.931,372.188,9.703
World,1937,,4496.715,288.785,6.863
World,1938,,4229.619,-267.096,-5.94
World,1939,,4470.135,240.516,5.686
World,1940,2328460032,4884.664,414.529,9.273
World,1941,,4999.093,114.429,2.343
World,1942,,4982.524,-16.569,-0.331
World,1943,,5075.273,92.749,1.861
World,1944,,5162.486,87.213,1.718
World,1945,,4289.312,-873.174,-16.914
World,1946,,4608.547,319.234,7.443
World,1947,,5165.206,556.659,12.079
World,1948,,5447.885,282.679,5.473
World,1949,,5204.035,-243.85,-4.476
World,1950,2493092843,5930.244,726.208,13.955
World,1951,2536927039,6381.429,451.185,7.608
World,1952,2584086332,6467.46,86.032,1.348
World,1953,2634106246,6650.885,183.425,2.836
World,1954,2685894869,6789.529,138.644,2.085
World,1955,2740213784,7443.896,654.367,9.638
World,1956,2795409978,7926.013,482.117,6.477
World,1957,2852618346,8185.645,259.632,3.276
World,1958,2911249658,8417.188,231.542,2.829
World,1959,2965950358,8854.689,437.502,5.198
World,1960,3015470890,9387.011,532.321,6.012
World,1961,3064869656,9415.042,28.031,0.299
World,1962,3123374299,9747.287,332.245,3.529
World,1963,3192807820,10266.772,519.485,5.33
World,1964,3264487340,10824.466,557.693,5.432
World,1965,3334533717,11310.601,486.135,4.491
World,1966,3404041107,11862.646,552.047,4.881
World,1967,3473412894,12237.369,374.723,3.159
World,1968,3545187239,12905.283,667.914,5.458
World,1969,3619491592,13761.785,856.501,6.637
World,1970,3694683801,14899.124,1137.339,8.264
World,1971,3769847834,15503.854,604.73,4.059
World,1972,3844917687,16224.597,720.742,4.649
World,1973,3920805030,17085.094,860.497,5.304
World,1974,3996416108,17011.072,-74.022,-0.433
World,1975,4070735264,17052.752,41.68,0.245
World,1976,4144246391,17989.111,936.36,5.491
World,1977,4217863819,18498.635,509.524,2.832
World,1978,4292097508,19069.291,570.655,3.085
World,1979,4368539472,19609.02,539.73,2.83
World,1980,4447606208,19488.523,-120.496,-0.614
World,1981,4528777285,19022.902,-465.621,-2.389
World,1982,4612673436,18871.098,-151.806,-0.798
World,1983,4697327604,18991.91,120.814,0.64
World,1984,4782175500,19647.801,655.89,3.454
World,1985,4868943460,20311.902,664.101,3.38
World,1986,4958072822,20614.963,303.061,1.492
World,1987,5049746378,21250.074,635.111,3.081
World,1988,5141992550,22085.131,835.056,3.93
World,1989,5234431714,22386.637,301.507,1.365
World,1990,5327803075,22728.988,342.352,1.529
World,1991,5418735879,23186.102,457.114,2.011
World,1992,5505989821,22528.172,-657.93,-2.838
World,1993,5591544841,22755.787,227.615,1.01
World,1994,5675551281,22992.947,237.16,1.042
World,1995,5758878997,23532.084,539.136,2.345
World,1996,5842055726,24258.168,726.086,3.086
World,1997,5924787787,24401.906,143.737,0.593
World,1998,6007066714,24303.777,-98.128,-0.402
World,1999,6089006330,24853.729,549.951,2.263
World,2000,6171703018,25510.553,656.824,2.643
World,2001,6254936479,25706.293,195.74,0.767
World,2002,6337730319,26276.869,570.577,2.22
World,2003,6420361649,27669.49,1392.62,5.3
World,2004,6503377778,28632.506,963.017,3.48
World,2005,6586970145,29614.395,981.889,3.429
World,2006,6671452018,30628.396,1014.002,3.424
World,2007,6757308750,31534.645,906.248,2.959
World,2008,6844457675,32074.199,539.554,1.711
World,2009,6932766459,31541.922,-532.277,-1.66
World,2010,7021732131,33355.902,1813.981,5.751
World,2011,7110923797,34504.539,1148.637,3.444
World,2012,7201202531,35000.02,495.481,1.436
World,2013,7291793608,35301.656,301.634,0.862
World,2014,7381616239,35450.094,148.439,0.42
World,2015,7470491904,35404.898,-45.195,-0.127
World,2016,7558554580,35416.656,11.76,0.033
World,2017,7645618013,35989.898,573.239,1.619
World,2018,7729902724,36730.426,740.528,2.058
World,2019,7811293714,37104.273,373.85,1.018
World,2020,7887001284,35126.527,-1977.75,-5.33
World,2021,7954448405,36991.734,1865.208,5.31
World,2022,8021407170,37293.836,302.1,0.817
World,2023,8091734935,37791.57,497.738,1.335
